runtime,ms,cloud,both,order
Go,2067,google,google-Go,12
Go,1790,google,google-Go,12
Node.js,925,ibm,ibm-Node.js,13
Node.js,814,ibm,ibm-Node.js,13
Node.js,859,ibm,ibm-Node.js,13
Node.js,779,ibm,ibm-Node.js,13
Node.js,794,ibm,ibm-Node.js,13
Node.js,856,ibm,ibm-Node.js,13
Node.js,800,ibm,ibm-Node.js,13
Node.js,780,ibm,ibm-Node.js,13
Node.js,823,ibm,ibm-Node.js,13
Node.js,833,ibm,ibm-Node.js,13
Python,661,ibm,ibm-Python,14
Python,651,ibm,ibm-Python,14
Python,605,ibm,ibm-Python,14
Python,666,ibm,ibm-Python,14
Python,649,ibm,ibm-Python,14
Python,646,ibm,ibm-Python,14
Python,629,ibm,ibm-Python,14
Python,599,ibm,ibm-Python,14
Python,675,ibm,ibm-Python,14
Python,675,ibm,ibm-Python,14
Go,761,ibm,ibm-Go,15
Go,748,ibm,ibm-Go,15
Go,763,ibm,ibm-Go,15
Go,761,ibm,ibm-Go,15
Go,733,ibm,ibm-Go,15
Go,803,ibm,ibm-Go,15
Go,785,ibm,ibm-Go,15
Go,906,ibm,ibm-Go,15
Go,778,ibm,ibm-Go,15
Go,845,ibm,ibm-Go,15
.NET,1829,ibm,ibm-.NET,16
.NET,1707,ibm,ibm-.NET,16
.NET,1632,ibm,ibm-.NET,16
.NET,1631,ibm,ibm-.NET,16
.NET,1670,ibm,ibm-.NET,16
.NET,1682,ibm,ibm-.NET,16
.NET,1601,ibm,ibm-.NET,16
.NET,1686,ibm,ibm-.NET,16
.NET,1583,ibm,ibm-.NET,16
.NET,1674,ibm,ibm-.NET,16
